NAME,ALGO,PRECISION,OMP_THREADS,MPI_RANKS,NGPUs,GPU ID,SIZE,TOTAL_TIME,TOTAL_TIME_var,TOTAL_TIME_std,CPU_TIME,CPU_TIME_var,CPU_TIME_std,GPU_TIME,GPU_TIME_var,GPU_TIME_std,CPU_JOULES,CPU_JOULES_var,CPU_JOULES_std,GPU_JOULES,GPU_JOULES_var,GPU_JOULES_std,CPU_WATTS,CPU_WATTS_var,CPU_WATTS_std,GPU_WATTS,GPU_WATTS_var,GPU_WATTS_std,NRUNS,CPU_NAME,Sockets,GPU_NAME,Cores_per_socket,TOTAL_WATTS,TOTAL_JOULES
Palabos_anerusym,LBM,8,1,64,0,99,116923434,,,,936.627,0.0,0.0,,,,0.0,0,0,,,,0.0,0,0,,,,1,Graviton3,1,,64,,
Palabos_anerusym,LBM,8,1,64,0,99,34645796,,,,329.657,0.0,0.0,,,,0.0,0,0,,,,0.0,0,0,,,,1,Graviton3,1,,64,,
Palabos_anerusym,LBM,8,1,64,0,99,34645796,,,,329.032,0.0,0.0,,,,0.0,0,0,,,,0.0,0,0,,,,1,Graviton3,1,,64,,
Palabos_anerusym,LBM,8,1,64,0,99,2217803,,,,34.9428,0.0,0.0,,,,0.0,0,0,,,,0.0,0,0,,,,1,Graviton3,1,,64,,
Palabos_anerusym,LBM,8,1,96,0,99,116923434,,,,785.376,0.0,0.0,,,,157039.0,0,0,,,,199.954,0,0,,,,1,AMD EPYC 9654 96-Core Processor,2,,96,,
Palabos_anerusym,LBM,8,1,96,0,99,2217803,,,,30.7286,0.0,0.0,,,,6384.35,0,0,,,,207.766,0,0,,,,1,AMD EPYC 9654 96-Core Processor,2,,96,,
Palabos_anerusym,LBM,8,1,192,0,99,34645796,,,,135.252,0.0,0.0,,,,34401.5,0,0,,,,254.352,0,0,,,,1,AMD EPYC 9654 96-Core Processor,2,,96,,
Palabos_anerusym,LBM,8,1,192,0,99,2217803,,,,13.4083,0.0,0.0,,,,3739.08,0,0,,,,278.862,0,0,,,,1,AMD EPYC 9654 96-Core Processor,2,,96,,
Palabos_anerusym,LBM,8,1,64,0,99,2217803,,,,57.7617,0.0,0.0,,,,6314.09,0,0,,,,109.313,0,0,,,,1,AMD EPYC 7H12 64-Core Processor,2,,64,,
Palabos_anerusym,LBM,8,1,192,0,99,116923434,,,,383.643,0.0,0.0,,,,95276.4,0,0,,,,248.347,0,0,,,,1,AMD EPYC 9654 96-Core Processor,2,,96,,
Palabos_anerusym,LBM,8,1,128,0,99,116923434,,,,791.269,0.0,0.0,,,,163866.0,0,0,,,,207.092,0,0,,,,1,AMD EPYC 7H12 64-Core Processor,2,,64,,
